City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
635,Basoko,CD,74.44,scattered clouds,1.2391,23.616,Jackyna Hotel
637,Nkhotakota,MW,74.62,clear sky,-12.9274,34.2961,Sitima Inn
639,Tekeli,KZ,60.1,clear sky,44.83,78.8239,Vuslat Tekeli
640,Valparaiso,CL,66.43,scattered clouds,-33.0393,-71.6273,Hotel Ultramar
643,Riviere-Au-Renard,CA,64.69,clear sky,48.9957,-64.3971,Auberge Le Caribou
646,Escanaba,US,61.95,overcast clouds,45.7453,-87.0646,Sunset Lodge
649,Green River,US,72.19,clear sky,41.5286,-109.4662,Hampton Inn & Suites Green River
653,Aksu,CN,70.54,clear sky,41.1231,80.2644,Pudong Holiday Hotel
656,Shiyan,CN,60.82,few clouds,32.6475,110.7781,Fenghuang Garden Holiday Hotel
662,Maniwaki,CA,62.15,overcast clouds,46.3834,-75.966,Centre Chateau Logue
663,Greeley,US,73.0,few clouds,40.4233,-104.7091,Fairfield Inn & Suites by Marriott Greeley
666,Fethiye,TR,69.67,clear sky,36.6217,29.1164,Club & Hotel Letoonia
667,Katsuura,JP,69.82,scattered clouds,35.1333,140.3,Katsuura Hotel Mikazuki
669,Cap Malheureux,MU,70.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
671,Talara,PE,70.56,clear sky,-4.5772,-81.2719,Hostal Oro Negro
672,Vila Velha,BR,73.35,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
674,Zemio,CF,72.45,overcast clouds,5.0314,25.1361,OCHA Office
675,Betsiamites,CA,61.2,broken clouds,48.9413,-68.646,Pourvoirie du lac des îles
679,Dumalinao,PH,72.84,overcast clouds,7.8191,123.3694,My Home Town
