City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
107,Naco,MX,2022-09-19 03:22:57,31.3347,-109.9483,78.96,43,17,2.84
108,Portadown,GB,2022-09-19 03:22:58,54.4241,-6.4412,57.02,91,88,3.04
109,Skibbereen,IE,2022-09-19 03:22:58,51.55,-9.2667,49.41,87,8,2.73
110,Isangel,VU,2022-09-19 03:22:58,-19.55,169.2667,84.31,65,75,9.22
111,North Bend,US,2022-09-19 03:22:59,43.4065,-124.2243,62.51,83,0,8.05
112,Zhezkazgan,KZ,2022-09-19 03:22:59,47.8043,67.7144,53.58,30,0,15.66
113,Mar Del Plata,AR,2022-09-19 03:21:12,-38.0023,-57.5575,57.09,97,100,17.0
114,Pak Phanang,TH,2022-09-19 03:22:59,8.3511,100.202,91.42,62,100,4.52
115,Las Choapas,MX,2022-09-19 03:23:00,17.9333,-94.0833,75.63,94,94,3.91
116,Nazarovo,RU,2022-09-19 03:23:00,56.0064,90.3914,49.82,59,91,8.57
117,Jiangyin,CN,2022-09-19 03:23:00,31.9282,120.3126,81.99,46,0,16.13
118,Launceston,AU,2022-09-19 03:23:00,-41.45,147.1667,62.62,49,40,6.91
119,Emerald,AU,2022-09-19 03:23:01,-23.5333,148.1667,85.33,39,0,6.4
120,Klaksvik,FO,2022-09-19 03:23:01,62.2266,-6.589,45.52,72,43,11.01
121,Puerto Madryn,AR,2022-09-19 03:23:01,-42.7692,-65.0385,43.3,78,100,17.92
122,Diamantino,BR,2022-09-19 03:23:02,-14.4086,-56.4461,84.27,45,86,4.65
123,Cape Town,ZA,2022-09-19 03:23:02,-33.9258,18.4232,54.1,76,20,5.75
124,Port Blair,IN,2022-09-19 03:23:02,11.6667,92.75,83.97,75,73,16.42
125,Chissamba,AO,2022-09-19 03:23:03,-12.1667,17.3333,63.99,71,82,4.38
126,Nanortalik,GL,2022-09-19 03:23:03,60.1432,-45.2371,45.05,80,98,11.21
127,Cabcab,PH,2022-09-19 03:23:04,13.6268,124.0515,84.74,72,100,10.54
128,Kupang,ID,2022-09-19 03:23:04,-10.1667,123.5833,93.78,43,20,13.8
129,Lagoa,PT,2022-09-19 03:23:04,39.05,-27.9833,72.73,88,6,8.19
130,Scotts Valley,US,2022-09-19 03:23:05,37.0511,-122.0147,63.27,86,98,11.99
131,Nacala,MZ,2022-09-19 03:23:05,-14.5428,40.6728,70.34,88,0,5.28
132,Lazaro Cardenas,MX,2022-09-19 03:23:06,17.9583,-102.2,75.42,97,100,3.09
133,Caravelas,BR,2022-09-19 03:23:06,-17.7125,-39.2481,68.23,78,10,5.03
134,Bengkulu,ID,2022-09-19 03:23:06,-3.8004,102.2655,79.66,78,100,3.2
135,Lompoc,US,2022-09-19 03:20:11,34.6391,-120.4579,67.01,75,100,10.36
136,Leningradskiy,RU,2022-09-19 03:23:07,69.3833,178.4167,33.44,98,100,21.61
137,San Juan De Uraba,CO,2022-09-19 03:23:07,8.7592,-76.5297,75.69,89,99,7.36
138,Tabas,IR,2022-09-19 03:24:08,33.5959,56.9244,71.82,28,0,4.61
139,Hanmer Springs,NZ,2022-09-19 03:24:08,-42.5167,172.8167,59.59,52,37,10.0
140,Ancud,CL,2022-09-19 03:24:08,-41.8697,-73.8203,42.22,91,48,5.86
141,Padang,ID,2022-09-19 03:21:22,-0.9492,100.3543,82.45,75,98,1.45
142,Alice Springs,AU,2022-09-19 03:24:09,-23.7,133.8833,90.95,17,58,20.71
143,Tessalit,ML,2022-09-19 03:24:09,20.1986,1.0114,89.06,32,82,7.61
144,Hervey Bay,AU,2022-09-19 03:24:09,-25.2986,152.8535,71.42,73,0,11.03
145,Barrow,US,2022-09-19 03:20:20,71.2906,-156.7887,46.42,76,75,8.05
146,Raudeberg,NO,2022-09-19 03:24:10,61.9875,5.1352,47.07,67,27,20.24
147,Castro,BR,2022-09-19 03:24:10,-24.7911,-50.0119,48.69,97,11,7.67
148,Sumenep,ID,2022-09-19 03:24:10,-7.0167,113.8667,86.83,57,27,7.36
149,Clyde River,CA,2022-09-19 03:24:10,70.4692,-68.5914,35.83,100,100,13.8
150,Waingapu,ID,2022-09-19 03:24:12,-9.6567,120.2641,86.81,62,9,10.63
151,Sitka,US,2022-09-19 03:24:12,57.0531,-135.33,57.09,62,75,9.22
152,Hambantota,LK,2022-09-19 03:24:12,6.1241,81.1185,83.19,71,64,16.93
153,Narsaq,GL,2022-09-19 03:24:13,60.9167,-46.05,57.42,72,91,3.0
154,Komsomolskiy,UZ,2022-09-19 03:24:13,40.4272,71.7189,72.32,33,0,6.91
155,Norman Wells,CA,2022-09-19 03:24:13,65.282,-126.8329,48.24,71,75,3.44
156,Keti Bandar,PK,2022-09-19 03:24:14,24.1447,67.4497,82.36,68,0,10.74
157,Riberalta,BO,2022-09-19 03:24:14,-10.9833,-66.1,79.07,61,11,2.98
158,Andenes,NO,2022-09-19 03:24:14,69.3143,16.1194,44.92,93,75,26.46
159,Antofagasta,CL,2022-09-19 03:19:53,-23.65,-70.4,56.48,68,4,8.66
160,Nova Olimpia,BR,2022-09-19 03:24:15,-14.7972,-57.2881,84.85,46,47,5.59
161,Izumo,JP,2022-09-19 03:24:15,35.3667,132.7667,82.35,94,75,18.41
162,Ust-Ilimsk,RU,2022-09-19 03:24:16,58.0006,102.6619,50.31,76,85,6.22
163,Gazanjyk,TM,2022-09-19 03:24:16,39.2446,55.5154,71.01,27,0,9.69
164,Palmer,US,2022-09-19 03:24:16,42.1584,-72.3287,70.97,85,75,0.0
165,Price,US,2022-09-19 03:24:17,39.5994,-110.8107,66.11,29,0,6.91
166,Namibe,AO,2022-09-19 03:24:17,-15.1961,12.1522,61.5,82,97,5.93
167,Pemba,MZ,2022-09-19 03:24:17,-12.974,40.5178,72.3,94,20,5.75
168,Pontianak,ID,2022-09-19 03:24:18,-0.0333,109.3333,78.78,89,40,4.61
169,Puerto Escondido,MX,2022-09-19 03:24:18,15.85,-97.0667,76.03,60,100,5.75
170,Deputatskiy,RU,2022-09-19 03:24:18,69.3,139.9,33.94,69,100,4.72
171,Mogzon,RU,2022-09-19 03:24:19,51.7435,111.9606,48.0,42,10,9.24
