City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
303,Salamanca,40.8333,-6.0,61.63,36,74,9.95,ES,broken clouds
304,Jumla,29.2747,82.1838,58.5,90,100,2.28,NP,overcast clouds
305,Shingu,33.7333,135.9833,73.26,93,84,3.78,JP,broken clouds
306,Saint-Georges,12.0564,-61.7485,87.48,74,40,17.27,GD,scattered clouds
307,Ambilobe,-13.2,49.05,71.02,63,1,6.42,MG,clear sky
308,Sitges,41.2351,1.8119,70.27,64,5,1.99,ES,clear sky
309,Ixtapa,20.7,-105.2,89.22,58,40,5.99,MX,scattered clouds
310,Sinjar,36.3209,41.8754,76.24,17,0,9.93,IQ,clear sky
311,Bom Jesus,-9.0744,-44.3586,93.9,29,86,5.95,BR,overcast clouds
312,Taoudenni,22.6783,-3.9836,103.55,10,100,2.35,ML,overcast clouds
313,Finschhafen,-6.6024,147.8681,77.97,81,26,4.65,PG,scattered clouds
314,Vanimo,-2.6741,141.3028,76.26,90,32,5.44,PG,scattered clouds
315,Sao Joao Da Barra,-21.6403,-41.0511,75.29,67,15,12.33,BR,few clouds
316,Praia Da Vitoria,38.7333,-27.0667,73.76,73,40,20.04,PT,scattered clouds
317,Auki,-8.7676,160.7034,75.38,86,14,2.53,SB,few clouds
318,Christchurch,-43.5333,172.6333,49.91,72,100,19.57,NZ,overcast clouds
319,Guider,9.9342,13.9486,79.05,71,17,2.91,CM,few clouds
320,Carballo,43.213,-8.691,63.01,79,0,8.97,ES,clear sky
321,Tessaoua,13.7574,7.9874,94.64,28,98,5.08,NE,overcast clouds
322,Tungor,53.3808,142.9564,43.74,87,100,4.79,RU,overcast clouds
323,Saldana,3.9292,-75.0152,91.72,40,98,3.53,CO,overcast clouds
324,Igrim,63.1906,64.4162,28.53,75,2,4.94,RU,clear sky
325,Clyde River,70.4692,-68.5914,44.83,65,0,10.36,CA,clear sky
326,Rapid Valley,44.0625,-103.1463,73.63,33,0,17.27,US,clear sky
327,Deputatskiy,69.3,139.9,19.44,98,100,3.8,RU,overcast clouds
328,Fukue,32.6881,128.8419,74.34,81,90,7.7,JP,overcast clouds
329,Cordoba,-31.4135,-64.1811,71.42,58,40,11.5,AR,scattered clouds
330,Negombo,7.2083,79.8358,80.65,89,40,6.91,LK,heavy intensity rain
331,Bengkulu,-3.8004,102.2655,74.35,90,98,3.67,ID,overcast clouds
332,Roros,62.5747,11.3842,44.44,76,0,14.97,NO,clear sky
333,Kruisfontein,-34.0033,24.7314,59.88,87,100,10.6,ZA,overcast clouds
334,Noumea,-22.2763,166.4572,67.98,85,0,4.72,NC,clear sky
335,Leningradskiy,69.3833,178.4167,31.44,96,100,7.31,RU,light snow
336,Mecca,21.4267,39.8261,91.78,39,3,2.46,SA,clear sky
337,Gossas,14.4912,-16.0642,89.62,82,100,10.51,SN,light rain
338,Sevenoaks,51.27,0.1928,57.33,57,0,6.91,GB,clear sky
339,Reyes,-14.3167,-67.3833,95.5,34,97,6.22,BO,overcast clouds
340,Tibati,6.4667,12.6333,68.49,91,78,2.53,CM,broken clouds
341,Olenino,56.2092,33.4889,41.85,98,100,6.71,RU,overcast clouds
342,Camacha,33.0833,-16.3333,69.22,60,20,11.5,PT,few clouds
343,Nome,64.5011,-165.4064,45.16,81,100,9.22,US,light rain
344,Chimbote,-9.0853,-78.5783,66.51,71,52,12.84,PE,broken clouds
345,Mogoytuy,51.2833,114.9167,34.84,48,94,4.41,RU,snow
346,Komsomolskiy,40.4272,71.7189,70.52,40,0,9.22,UZ,clear sky
347,Severnoye,56.3491,78.3619,30.51,93,99,7.29,RU,overcast clouds
348,Tezu,27.9167,96.1667,72.43,94,100,2.62,IN,overcast clouds
349,Bilibino,68.0546,166.4372,22.41,86,89,3.56,RU,overcast clouds
350,Muros,42.7762,-9.0603,64.09,68,0,16.35,ES,clear sky
351,Coquimbo,-29.9533,-71.3436,60.53,67,0,12.66,CL,clear sky
352,Ribeira Grande,38.5167,-28.7,72.0,83,40,17.27,PT,scattered clouds
353,Roma,43.2128,-75.4557,60.82,96,100,6.91,US,overcast clouds
354,Ulladulla,-35.35,150.4667,52.11,85,98,3.06,AU,overcast clouds
355,Jiangkou,25.4872,119.1986,74.48,77,50,13.47,CN,scattered clouds
356,Belyy Yar,53.6039,91.3903,48.85,93,0,0.0,RU,clear sky
357,Fort-Shevchenko,44.5086,50.263,67.59,48,0,17.58,KZ,clear sky
358,Hojai,26.0,92.8667,75.51,97,100,3.04,IN,overcast clouds
359,Southbridge,42.0751,-72.0334,68.31,76,100,3.0,US,light rain
360,Haines Junction,60.7522,-137.5108,44.55,76,100,3.44,CA,overcast clouds
361,Chateaubelair,13.2833,-61.25,84.72,74,40,5.75,VC,scattered clouds
362,Virpur,23.1833,73.4833,75.22,70,73,6.2,IN,broken clouds
363,Moose Factory,51.2585,-80.6094,68.0,52,75,9.22,CA,broken clouds
364,Alzamay,55.5562,98.6644,34.93,93,100,6.91,RU,overcast clouds
365,Biloela,-24.4167,150.5,59.22,64,0,3.8,AU,clear sky
366,Savalou,7.9281,1.9756,76.41,89,65,4.38,BJ,broken clouds
367,Angoche,-16.2325,39.9086,77.22,79,98,12.03,MZ,overcast clouds
368,Biloxi,30.396,-88.8853,91.4,49,0,8.05,US,clear sky
369,Eureka,40.8021,-124.1637,59.61,58,2,5.1,US,clear sky
370,Brejo Da Madre De Deus,-8.1458,-36.3711,78.15,56,11,17.11,BR,few clouds
371,Iguai,-14.7564,-40.0892,69.03,91,100,5.44,BR,overcast clouds
372,Santa Cruz De La Palma,28.6835,-17.7642,74.14,100,100,11.5,ES,light intensity drizzle
373,Berlevag,70.8578,29.0864,48.2,76,0,17.27,NO,clear sky
374,Acajutla,13.5928,-89.8275,82.13,82,78,7.56,SV,broken clouds
375,Constitucion,-35.3333,-72.4167,56.23,61,4,12.12,CL,clear sky
376,Sharan,54.8167,54.0,47.98,89,100,10.76,RU,overcast clouds
377,Campbeltown,55.4258,-5.6076,57.25,95,100,28.39,GB,overcast clouds
378,Rio Grande,-32.035,-52.0986,68.11,81,100,17.54,BR,light rain
379,Pangnirtung,66.1451,-65.7125,41.0,60,75,8.05,CA,broken clouds
380,Saint George,37.1041,-113.5841,83.79,20,0,3.44,US,clear sky
381,Kamenka,51.3223,42.7678,47.21,85,100,15.21,RU,overcast clouds
382,Tomatlan,19.9333,-105.25,90.55,57,14,5.73,MX,few clouds
383,Omboue,-1.5746,9.2618,76.95,84,100,10.78,GA,overcast clouds
384,Atar,20.5169,-13.0499,95.79,34,56,10.42,MR,broken clouds
385,Constantine,36.365,6.6147,65.61,77,75,8.05,DZ,light rain
386,Yumbe,3.4651,31.2469,66.67,85,5,3.51,UG,clear sky
387,Bulancak,40.9372,38.2291,64.22,72,20,8.05,TR,few clouds
388,Krasnozatonskiy,61.6758,50.9794,43.02,70,0,13.42,RU,clear sky
389,Slave Lake,55.2834,-114.769,53.58,71,100,3.44,CA,overcast clouds
390,Tevriz,57.509,72.4042,33.24,88,15,4.94,RU,few clouds
391,Iralaya,15.0,-83.2333,85.24,70,42,13.4,HN,scattered clouds
392,Bucerias,20.75,-105.3333,89.98,58,40,0.0,MX,scattered clouds
393,Luau,-10.7073,22.2247,80.19,29,100,3.98,AO,overcast clouds
394,Catalina,32.5056,-110.9211,93.09,24,23,7.0,US,few clouds
395,Ferrol,43.4832,-8.2369,63.12,73,0,12.12,ES,clear sky
396,Mae Ramat,16.984,98.5166,76.8,99,99,0.38,TH,overcast clouds
397,Aswan,24.0934,32.907,94.55,15,1,11.54,EG,clear sky
398,Lorengau,-2.0226,147.2712,81.64,71,71,10.31,PG,broken clouds
399,Cockburn Town,21.4612,-71.1419,83.01,79,54,17.02,TC,broken clouds
400,Broome,42.2506,-75.833,64.71,76,100,9.22,US,overcast clouds
401,Unguia,8.0434,-77.0945,89.62,67,98,3.4,CO,overcast clouds
402,Le Port,-20.9373,55.2919,69.8,76,0,3.98,RE,clear sky
403,Angoram,-4.0625,144.0661,72.01,99,41,2.64,PG,scattered clouds
404,Benghazi,32.1167,20.0667,75.54,64,0,16.04,LY,clear sky
405,Umm Lajj,25.0213,37.2685,90.5,42,45,6.64,SA,scattered clouds
406,Bantogon,6.5333,124.0333,78.39,77,100,2.51,PH,light rain
407,Poum,-20.2333,164.0167,75.49,79,1,13.47,NC,clear sky
408,Dong Hoi,17.4833,106.6,76.78,88,91,2.37,VN,overcast clouds
409,Richards Bay,-28.783,32.0377,74.95,66,4,7.7,ZA,clear sky
410,Pedro Juan Caballero,-22.5472,-55.7333,85.96,42,20,11.5,PY,few clouds
411,Grindavik,63.8424,-22.4338,48.15,66,20,14.97,IS,few clouds
412,Laguna,38.421,-121.4238,92.08,47,0,5.75,US,clear sky
413,Coos Bay,43.3665,-124.2179,68.94,88,0,4.61,US,clear sky
414,Superior,46.7208,-92.1041,67.69,56,75,18.41,US,broken clouds
415,Mount Vernon,40.9126,-73.8371,74.89,64,75,8.01,US,broken clouds
416,Srednekolymsk,67.45,153.6833,28.58,78,20,7.96,RU,few clouds
417,Hovd,48.0056,91.6419,53.47,38,6,3.74,MN,clear sky
418,Aleksandrov Gay,50.147,48.5704,51.75,74,100,17.58,RU,overcast clouds
419,Vardo,70.3705,31.1107,46.38,87,0,11.5,NO,clear sky
420,Catamarca,-28.4696,-65.7852,76.06,26,15,7.0,AR,few clouds
421,Wanning,18.8003,110.3967,75.72,90,22,6.62,CN,few clouds
422,Kawalu,-7.3817,108.2082,70.97,97,61,1.28,ID,broken clouds
423,Kodinsk,58.6881,99.1844,28.47,97,28,3.69,RU,scattered clouds
424,Rabo De Peixe,37.8,-25.5833,71.11,64,75,13.8,PT,broken clouds
425,Jinchang,38.4953,102.1739,60.46,26,32,3.6,CN,scattered clouds
426,Leshukonskoye,64.8989,45.7622,41.14,69,100,8.34,RU,overcast clouds
427,Saint-Francois,46.4154,3.9054,54.84,100,13,1.14,FR,few clouds
428,Mehamn,71.0357,27.8492,48.15,66,0,11.5,NO,clear sky
429,Riverton,40.5219,-111.9391,77.77,32,0,3.0,US,clear sky
430,Keffi,8.8486,7.8736,75.51,91,64,3.49,NG,broken clouds
431,Neuquen,-38.9516,-68.0591,66.09,22,0,6.91,AR,clear sky
432,Port Blair,11.6667,92.75,78.84,89,40,2.3,IN,mist
433,Kroya,-7.6331,109.2461,76.14,88,100,5.99,ID,overcast clouds
434,Nadapuram,11.7,75.6667,76.12,91,99,4.85,IN,overcast clouds
435,Livada,47.8667,23.1333,55.27,77,100,5.5,RO,overcast clouds
436,Kabanjahe,3.1001,98.4908,63.97,91,100,3.58,ID,moderate rain
437,Porbandar,21.6422,69.6093,81.14,68,84,6.02,IN,broken clouds
438,Porto Nacional,-10.7081,-48.4172,84.2,58,76,6.73,BR,light rain
439,Labuhan,-6.8844,112.2051,77.99,81,81,9.57,ID,broken clouds
440,Maragogi,-9.0122,-35.2225,78.33,72,2,10.94,BR,clear sky
441,Wasilla,61.5814,-149.4394,52.02,74,20,11.5,US,few clouds
442,Homer,59.6425,-151.5483,51.04,76,40,0.0,US,scattered clouds
443,Hastings,50.8552,0.5729,57.78,56,81,8.48,GB,broken clouds
444,Tiksi,71.6872,128.8694,33.94,81,70,23.13,RU,broken clouds
445,Grand Gaube,-20.0064,57.6608,72.0,71,0,3.0,MU,clear sky
